idsbrokencres,model_name,cre,crd,repair,broken_cre_count,broken_cres
3922,WordPad,"CR11 [GetTwipSize]",CR11,"{(GetTwipSize{8081}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-ar{1225}<InstanceType-Parameter{400}>)}",1,"CR14 [GetTwipSize],"
3945,WordPad,"CR14 [Run]",CR14,"{(Run{5591}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-ar{1225}<InstanceType-Parameter{400}>)}",1,"CR11 [Run],"
3957,WordPad,"CR04 []",CR04,"{(m_wndRulerBar{8353}<InstanceType-Property{359}>(PropertyType).aggregation = Instance-composite{557}<InstanceType-AggregationKind{555}>), ({8355}<InstanceType-Association{523}>(AssociationType).memberEnd Add Instance-_cBigIcon{7437}<InstanceType-Property{359}>)}",1,"CR06 [m_wndRulerBar],"
4026,WordPad,"CR10 [XClientToRuler]",CR10,"{(XClientToRuler{7700}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-ar{1225}<InstanceType-Parameter{400}>)}",1,"CR11 [XClientToRuler],"
4033,WordPad,"CR10 [Execute]",CR10,"{(Execute{4199}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-ar{1225}<InstanceType-Parameter{400}>)}",1,"CR11 [Execute],"
4061,WordPad,"CR04 []",CR04,"{(composite{557}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite), (shared{556}<InstanceType-AggregationKind{555}>(AggregationKindType).name = shared)}",1,"CR06 [m_buttonClear],"
4078,WordPad,"CR04 []",CR04,"{(composite{556}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite), (composite{556}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite)}",2,"CR06 [m_pThis],CR06 [m_pThis],"
4093,WordPad,"CR10 [Duplicate]",CR10,"{(Duplicate{3252}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-ar{1225}<InstanceType-Parameter{400}>)}",1,"CR11 [Duplicate],"
4188,WordPad,"CR10 [SetHorzPosTwips]",CR10,"{(SetHorzPosTwips{7564}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-ar{3524}<InstanceType-Parameter{400}>)}",1,"CR11 [SetHorzPosTwips],"
4230,WordPad,"CR14 [ExitInstance]",CR14,"{(ExitInstance{7270}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-ar{3524}<InstanceType-Parameter{400}>)}",1,"CR11 [ExitInstance],"
4289,WordPad,"CR10 [RemoveTabFromArrayByIndex]",CR10,"{(RemoveTabFromArrayByIndex{8449}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-ar{3915}<InstanceType-Parameter{400}>)}",1,"CR11 [RemoveTabFromArrayByIndex],"
4294,WordPad,"CR10 [OnReceive]",CR10,"{(OnReceive{6613}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-ar{3915}<InstanceType-Parameter{400}>)}",1,"CR11 [OnReceive],"
4349,WordPad,"CR04 []",CR04,"{(composite{556}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite), (composite{556}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite)}",2,"CR06 [_cButtonDialog],CR06 [m_staticIcon],"
4493,WordPad,"CR04 []",CR04,"{(shared{556}<InstanceType-AggregationKind{555}>(AggregationKindType).name = shared), (composite{557}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite)}",1,"CR06 [_cRulerBar],"
4509,WordPad,"CR10 [GetDocument]",CR10,"{(GetDocument{7417}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-ar{4032}<InstanceType-Parameter{400}>)}",1,"CR11 [GetDocument],"
4540,WordPad,"CR04 []",CR04,"{(shared{557}<InstanceType-AggregationKind{555}>(AggregationKindType).name = shared), (composite{556}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite)}",1,"CR06 [_cInPlaceFrame],"
4552,WordPad,"CR10 [GetMin]",CR10,"{(GetMin{7594}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-ar{4032}<InstanceType-Parameter{400}>)}",1,"CR11 [GetMin],"
4558,WordPad,"CR04 []",CR04,"{(composite{557}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite), (shared{556}<InstanceType-AggregationKind{555}>(AggregationKindType).name = shared)}",1,"CR06 [m_unit],"
4572,WordPad,"CR14 [InsertSize]",CR14,"{(InsertSize{8079}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-ar{4032}<InstanceType-Parameter{400}>)}",1,"CR11 [InsertSize],"
4602,WordPad,"CR04 []",CR04,"{(shared{557}<InstanceType-AggregationKind{555}>(AggregationKindType).name = shared), (composite{556}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite)}",1,"CR06 [units],"
4606,WordPad,"CR04 []",CR04,"{(composite{557}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite), (pageText{7853}<InstanceType-Property{359}>(PropertyType).aggregation = Instance-composite{556}<InstanceType-AggregationKind{555}>)}",1,"CR06 [_cOptionSheet],"
4693,WordPad,"CR04 []",CR04,"{(shared{557}<InstanceType-AggregationKind{555}>(AggregationKindType).name = shared), (composite{556}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite)}",1,"CR06 [m_units[7]],"
4760,WordPad,"CR04 []",CR04,"{(composite{556}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite), (composite{556}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite)}",2,"CR06 [m_optionsNull],CR06 [_cWordPadApp],"
4831,WordPad,"CR04 []",CR04,"{(composite{556}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite), (composite{556}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite)}",1,"CR06 [m_defParaFormat],"
4865,WordPad,"CR04 []",CR04,"{(composite{557}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite), (shared{556}<InstanceType-AggregationKind{555}>(AggregationKindType).name = shared)}",1,"CR06 [m_comboFontName],"
