time,cr
68,CR7A
79,CR7A
67,CR7A
117,CR7A
101,CR7A
99,CR7A
229,CR7A
62,CR7A
92,CR7A
127,CR7A
69,CR7A
104,CR7A
112,CR7A
116,CR7A
69,CR7A
105,CR7A
125,CR7A
76,CR7A
109,CR7A
81,CR7A
74,CR7A
135,CR7A
72,CR7A
92,CR7A
65,CR7A
86,CR7A
80,CR7A
98,CR7A
107,CR7A
110,CR7A
73,CR7A
123,CR7A
109,CR7A
82,CR7A
115,CR7A
124,CR7A
94,CR7A
113,CR7A
74,CR7A
90,CR7A
89,CR7A
81,CR7A
70,CR7A
71,CR7A
114,CR7A
71,CR7A
94,CR7A
98,CR7A
65,CR7A
110,CR7A
73,CR7A
102,CR7A
84,CR7A
98,CR7A
76,CR7A
91,CR7A
69,CR7A
78,CR7A
105,CR7A
102,CR7A
81,CR7A
99,CR7A
71,CR7A
92,CR7A
82,CR7A
95,CR7A
102,CR7A
105,CR7A
65,CR7A
79,CR7A
97,CR7A
126,CR7A
65,CR7A
90,CR7A
67,CR7A
106,CR7A
103,CR7A
75,CR7A
75,CR7A
70,CR7A
133,CR7A
69,CR7A
70,CR7A
61,CR7A
98,CR7A
91,CR7A
68,CR7A
85,CR7A
106,CR7A
226,CR7A
89,CR7A
121,CR7A
68,CR7A
75,CR7A
99,CR7A
138,CR7A
85,CR7A
114,CR7A
75,CR7A
72,CR7A
110,CR7A
76,CR7A
134,CR7A
137,CR7A
128,CR7A
75,CR7A
116,CR7A
66,CR7A
67,CR7A
118,CR7A
99,CR7A
70,CR7A
86,CR7A
71,CR7A
104,CR7A
95,CR7A
99,CR7A
99,CR7A
114,CR7A
78,CR7A
78,CR7A
67,CR7A
77,CR7A
80,CR7A
82,CR7A
65,CR7A
82,CR7A
161,CR7A
111,CR7A
118,CR7A
114,CR7A
99,CR7A
101,CR7A
73,CR7A
113,CR7A
69,CR7A
86,CR7A
94,CR7A
118,CR7A
83,CR7A
105,CR7A
79,CR7A
130,CR7A
93,CR7A
85,CR7A
67,CR7A
95,CR7A
67,CR7A
101,CR7A
90,CR7A
96,CR7A
64,CR7A
100,CR7A
85,CR7A
120,CR7A
71,CR7A
88,CR7A
105,CR7A
134,CR3A
21,CR3A
9,CR3A
14,CR3A
11,CR3A
25,CR3A
12,CR3A
12,CR3A
19,CR3A
20,CR3A
16,CR3A
11,CR3A
15,CR3A
11,CR3A
17,CR3A
20,CR3A
11,CR3A
15,CR3A
12,CR3A
19,CR3A
12,CR3A
18,CR3A
19,CR3A
8,CR3A
12,CR3A
17,CR3A
14,CR3A
21,CR3A
14,CR3A
14,CR3A
40,CR3A
19,CR3A
13,CR3A
16,CR3A
14,CR3A
18,CR3A
17,CR3A
14,CR3A
30,CR3A
12,CR3A
16,CR3A
19,CR3A
14,CR3A
11,CR3A
12,CR3A
20,CR3A
13,CR3A
17,CR3A
17,CR3A
16,CR3A
13,CR3A
14,CR3A
12,CR3A
16,CR3A
17,CR3A
10,CR3A
11,CR3A
14,CR3A
14,CR3A
10,CR3A
15,CR3A
11,CR3A
8,CR3A
12,CR3A
20,CR3A
11,CR3A
17,CR3A
12,CR3A
13,CR3A
21,CR3A
13,CR3A
12,CR3A
11,CR3A
11,CR3A
14,CR3A
13,CR3A
16,CR3A
12,CR3A
13,CR3A
16,CR3A
12,CR3A
14,CR3A
14,CR3A
16,CR3A
17,CR3A
18,CR3A
13,CR3A
16,CR3A
21,CR3A
15,CR3A
15,CR3A
14,CR3A
12,CR3A
15,CR3A
10,CR3A
10,CR3A
13,CR3A
12,CR3A
13,CR3A
19,CR3A
11,CR3A
13,CR3A
11,CR3A
10,CR3A
10,CR3A
10,CR3A
19,CR3A
10,CR3A
12,CR3A
8,CR3A
16,CR3A
15,CR3A
14,CR3A
11,CR3A
17,CR3A
17,CR3A
13,CR3A
13,CR3A
12,CR3A
13,CR3A
12,CR3A
12,CR3A
11,CR3A
15,CR3A
17,CR3A
13,CR3A
22,CR3A
16,CR3A
14,CR3A
14,CR3A
14,CR3A
21,CR3A
15,CR3A
17,CR3A
13,CR3A
14,CR3A
15,CR3A
18,CR3A
18,CR3A
12,CR3A
13,CR3A
16,CR3A
13,CR3A
7,CR3A
13,CR3A
11,CR3A
43,CR3A
10,CR3A
11,CR3A
14,CR3A
18,CR3A
7,CR3A
12,CR3A
13,CR3A
13,CR3A
12,CR3A
15,CR3A
13,CR3A
17,CR3A
12,CR3A
11,CR3A
11,CR3A
18,CR3A
14,CR3A
73,CR3A
16,CR3A
18,CR3A
10,CR3A
13,CR3A
22,CR3A
14,CR3A
19,CR3A
17,CR3A
18,CR3A
12,CR3A
20,CR3A
32,CR3A
12,CR3A
21,CR3A
14,CR3A
14,CR3A
15,CR3A
22,CR3A
19,CR3A
15,CR3A
14,CR3A
12,CR3A
11,CR3A
16,CR3A
12,CR3A
14,CR3A
11,CR3A
14,CR3A
12,CR3A
13,CR3A
11,CR3A
10,CR3A
11,CR3A
16,CR3A
12,CR3A
13,CR3A
10,CR3A
12,CR3A
19,CR3A
17,CR3A
19,CR3A
13,CR3A
17,CR3A
16,CR3A
15,CR3A
17,CR3A
22,CR3A
17,CR3A
19,CR3A
17,CR3A
16,CR3A
15,CR3A
16,CR3A
18,CR3A
19,CR3A
16,CR3A
13,CR3A
12,CR3A
21,CR3A
20,CR3A
11,CR3A
11,CR3A
18,CR3A
12,CR3A
16,CR3A
17,CR3A
14,CR3A
16,CR3A
11,CR3A
19,CR3A
16,CR3A
10,CR3A
13,CR3A
15,CR3A
13,CR3A
11,CR3A
11,CR3A
16,CR3A
10,CR3A
11,CR3A
10,CR3A
8,CR3A
11,CR3A
10,CR3A
16,CR3A
12,CR3A
12,CR3A
14,CR3A
