time,crd
91,CR2B
38,CR2B
35,CR2B
73,CR2B
85,CR2B
62,CR2B
54,CR2B
43,CR2B
41,CR2B
43,CR2B
44,CR2B
34,CR2B
67,CR2B
77,CR2B
50,CR2B
46,CR2B
53,CR2B
54,CR2B
40,CR2B
63,CR2B
53,CR2B
45,CR2B
49,CR2B
89,CR2B
66,CR2B
58,CR2B
42,CR2B
40,CR2B
55,CR2B
50,CR2B
48,CR2B
44,CR2B
42,CR2B
42,CR2B
31,CR2B
63,CR2B
41,CR2B
46,CR2B
38,CR2B
42,CR2B
54,CR2B
43,CR2B
46,CR2B
50,CR2B
54,CR2B
44,CR2B
38,CR2B
53,CR2B
40,CR2B
87,CR2B
63,CR2B
48,CR2B
42,CR2B
41,CR2B
29,CR2B
27,CR2B
29,CR2B
32,CR2B
65,CR2B
33,CR2B
48,CR2B
73,CR2B
33,CR2B
38,CR2B
56,CR2B
40,CR2B
52,CR2B
50,CR2B
55,CR2B
43,CR2B
44,CR2B
50,CR2B
50,CR2B
51,CR2B
52,CR2B
51,CR2B
46,CR2B
65,CR2B
51,CR2B
47,CR2B
33,CR2B
48,CR2B
43,CR2B
57,CR2B
47,CR2B
49,CR2B
27,CR2B
49,CR2B
65,CR2B
27,CR2B
68,CR2B
41,CR2B
54,CR2B
50,CR2B
27,CR2B
35,CR2B
49,CR2B
53,CR2B
56,CR2B
49,CR2B
51,CR2B
64,CR2B
85,CR2B
75,CR2B
49,CR2B
41,CR2B
47,CR2B
49,CR2B
43,CR2B
42,CR2B
42,CR2B
34,CR2B
58,CR2B
35,CR2B
33,CR2B
28,CR2B
69,CR2B
58,CR2B
49,CR2B
44,CR2B
41,CR2B
61,CR2B
50,CR2B
62,CR2B
45,CR2B
56,CR2B
47,CR2B
29,CR2B
40,CR2B
45,CR2B
46,CR2B
66,CR2B
41,CR2B
43,CR2B
62,CR2B
31,CR2B
61,CR2B
50,CR2B
31,CR2B
28,CR2B
53,CR2B
85,CR2B
27,CR2B
39,CR2B
53,CR2B
64,CR2B
41,CR2B
34,CR2B
27,CR2B
35,CR2B
66,CR2B
45,CR2B
50,CR2B
43,CR2B
50,CR2B
45,CR2B
35,CR2B
55,CR2B
86,CR2B
43,CR2B
52,CR2B
70,CR2B
58,CR2B
42,CR2B
61,CR2B
72,CR2B
42,CR2B
40,CR2B
29,CR2B
48,CR2B
31,CR2B
34,CR2B
73,CR2B
44,CR2B
44,CR2B
35,CR2B
79,CR2B
28,CR2B
37,CR2B
91,CR2B
36,CR2B
42,CR2B
30,CR2B
44,CR2B
36,CR2B
75,CR2B
32,CR2B
45,CR2B
50,CR2B
58,CR2B
60,CR2B
46,CR2B
44,CR2B
57,CR2B
67,CR2B
56,CR2B
53,CR2B
72,CR2B
58,CR2B
44,CR2B
51,CR2B
45,CR2B
37,CR2B
38,CR2B
30,CR2B
24,CR2B
91,CR2B
50,CR2B
33,CR2B
30,CR2B
48,CR2B
39,CR2B
25,CR2B
49,CR2B
50,CR2B
64,CR2B
54,CR2B
47,CR2B
41,CR3A
52,CR3A
55,CR3A
79,CR3A
46,CR3A
62,CR3A
56,CR3A
49,CR3A
54,CR3A
43,CR3A
49,CR3A
30,CR3A
44,CR3A
32,CR3A
56,CR3A
63,CR3A
53,CR3A
73,CR3A
61,CR3A
44,CR3A
53,CR3A
41,CR3A
47,CR3A
85,CR3A
31,CR3A
43,CR3A
121,CR3A
48,CR3A
54,CR3A
28,CR3A
67,CR3A
57,CR3A
44,CR3A
53,CR3A
61,CR3A
40,CR3A
38,CR3A
63,CR3A
61,CR3A
52,CR3A
43,CR3A
48,CR3A
73,CR3A
40,CR3A
49,CR3A
55,CR3A
44,CR3A
73,CR3A
77,CR3A
64,CR3A
41,CR3A
48,CR3A
35,CR3A
60,CR3A
49,CR3A
55,CR3A
54,CR3A
66,CR3A
59,CR3A
61,CR3A
57,CR3A
54,CR3A
28,CR3A
67,CR3A
78,CR3A
62,CR3A
68,CR3A
63,CR3A
39,CR3A
30,CR3A
30,CR3A
42,CR3A
176,CR3A
46,CR3A
54,CR3A
46,CR3A
60,CR3A
37,CR3A
60,CR3A
49,CR3A
51,CR3A
49,CR3A
51,CR3A
35,CR3A
34,CR3A
37,CR3A
43,CR3A
42,CR3A
47,CR3A
62,CR3A
34,CR3A
40,CR3A
31,CR3A
30,CR3A
53,CR3A
32,CR3A
41,CR3A
77,CR3A
33,CR3A
47,CR3A
35,CR3A
51,CR3A
64,CR3A
66,CR3A
49,CR3A
44,CR3A
54,CR3A
36,CR3A
64,CR3A
38,CR3A
58,CR3A
50,CR3A
77,CR3A
37,CR3A
85,CR3A
37,CR3A
34,CR3A
36,CR3A
68,CR3A
51,CR3A
59,CR3A
34,CR3A
50,CR3A
43,CR3A
54,CR3A
48,CR3A
31,CR3A
57,CR3A
69,CR3A
72,CR3A
33,CR3A
79,CR3A
70,CR3A
76,CR3A
63,CR3A
84,CR3A
75,CR3A
29,CR3A
47,CR3A
46,CR3A
58,CR3A
67,CR3A
42,CR3A
46,CR3A
94,CR3A
65,CR3A
53,CR3A
43,CR3A
86,CR3A
42,CR3A
44,CR3A
48,CR3A
68,CR3A
60,CR3A
31,CR3A
32,CR3A
47,CR3A
43,CR3A
54,CR3A
49,CR3A
33,CR3A
51,CR3A
29,CR3A
73,CR3A
42,CR3A
63,CR3A
30,CR3A
38,CR3A
67,CR3A
68,CR3A
50,CR3A
59,CR3A
42,CR3A
35,CR3A
62,CR3A
60,CR3A
51,CR3A
45,CR3A
44,CR3A
50,CR3A
31,CR3A
54,CR3A
69,CR3A
31,CR3A
37,CR3A
43,CR3A
68,CR3A
61,CR3A
64,CR3A
75,CR3A
55,CR3A
79,CR3A
79,CR3A
74,CR3A
89,CR3A
42,CR3A
49,CR3A
59,CR3A
51,CR3A
35,CR3A
34,CR3A
35,CR3A
36,CR3A
41,CR3A
38,CR3A
34,CR3A
36,CR3A
51,CR3A
34,CR3A
67,CR3A
27,CR3A
44,CR3A
45,CR3A
48,CR3A
55,CR3A
58,CR3A
49,CR3A
29,CR3A
74,CR3A
48,CR3A
61,CR3A
49,CR3A
53,CR3A
50,CR3A
54,CR3A
116,CR3A
56,CR3A
51,CR3A
40,CR3A
88,CR3A
59,CR3A
73,CR3A
56,CR3A
58,CR3A
79,CR3A
44,CR3A
34,CR3A
63,CR3A
34,CR3A
69,CR3A
43,CR3A
35,CR3A
32,CR3A
52,CR3A
44,CR3A
33,CR3A
59,CR3A
52,CR3A
57,CR3A
42,CR3A
45,CR3A
30,CR3A
59,CR3A
65,CR3A
42,CR3A
31,CR3A
33,CR3A
62,CR3A
74,CR3A
95,CR3A
53,CR3A
54,CR3A
51,CR3A
47,CR3A
49,CR3A
49,CR3A
33,CR3A
62,CR3A
60,CR3B
70,CR3B
88,CR3B
48,CR3B
44,CR3B
47,CR3B
72,CR3B
83,CR3B
91,CR3B
74,CR3B
77,CR3B
51,CR3B
45,CR3B
77,CR3B
63,CR3B
65,CR3B
34,CR3B
31,CR3B
65,CR3B
43,CR3B
106,CR3B
60,CR3B
50,CR3B
